"Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
187,"The Legend of Zelda: Phantom Hourglass","DS",28,"Action","Nintendo",1.9,1.83,0.95,0.49,5.17
188,"Donkey Kong Country 2: Diddy's Kong Quest","SNES",16,"Platform","Nintendo",2.1,0.74,2.2,0.11,5.15
189,"Tomodachi Life","3DS",34,"Simulation","Nintendo",0.96,2.02,1.89,0.28,5.15
190,"Mario & Sonic at the Olympic Games","DS",29,"Sports","Sega",1.64,2.48,0.44,0.58,5.14
191,"Medal of Honor: Rising Sun","PS2",24,"Shooter","Electronic Arts",1.98,2.23,0.13,0.8,5.13
192,"Kirby's Dream Land","GB",13,"Platform","Nintendo",2.71,0.61,1.7,0.11,5.13
193,"Fable III","X360",31,"Role-Playing","Microsoft Game Studios",3.59,1.11,0.05,0.38,5.13
194,"Call of Duty: Advanced Warfare","XOne",35,"Shooter","Activision",3.21,1.53,0.01,0.38,5.13
195,"Microsoft Flight Simulator","PC",17,"Simulation","Microsoft Game Studios",3.22,1.69,0,0.2,5.12
196,"Guitar Hero II","PS2",27,"Misc","RedOctane",3.81,0.63,0,0.68,5.12
197,"Resident Evil 5","PS3",30,"Action","Capcom",1.96,1.43,1.08,0.65,5.11
198,"Grand Theft Auto V","XOne",35,"Action","Take-Two Interactive",2.66,2.01,0,0.41,5.08
199,"Grand Theft Auto: Vice City Stories","PSP",27,"Action","Take-Two Interactive",1.7,2.02,0.16,1.21,5.08
200,"FIFA Soccer 11","PS3",31,"Sports","Electronic Arts",0.6,3.29,0.06,1.13,5.08
201,"Super Mario Bros.","GB",20,"Platform","Nintendo",3.4,1.3,0.15,0.22,5.07
202,"Resident Evil","PS",17,"Action","Virgin Interactive",2.05,1.16,1.11,0.73,5.05
203,"Tony Hawk's Pro Skater","PS",20,"Sports","Activision",3.42,1.38,0.02,0.2,5.02
204,"Super Smash Bros. for Wii U and 3DS","WiiU",35,"Fighting","Nintendo",2.59,1.06,0.8,0.57,5.02
205,"Warzone 2100","PS",20,"Strategy","Eidos Interactive",2.79,1.89,0,0.33,5.01
206,"Spyro the Dragon","PS",19,"Platform","Sony Computer Entertainment",3.36,1.36,0.07,0.21,5
207,"Link's Crossbow Training","Wii",28,"Shooter","Nintendo",3.06,1.18,0.29,0.46,5
208,"Guitar Hero III: Legends of Rock","PS2",28,"Misc","Activision",3.49,0.01,0.01,1.48,4.98
209,"Fallout 3","X360",29,"Role-Playing","Bethesda Softworks",3.39,1.03,0.09,0.44,4.96
210,"Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness","DS",28,"Role-Playing","Nintendo",1.85,1.2,1.54,0.37,4.96
211,"Uncharted: Drake's Fortune","PS3",28,"Action","Sony Computer Entertainment",2.31,1.73,0.12,0.78,4.94
212,"Madden NFL 06","PS2",26,"Sports","Electronic Arts",3.98,0.26,0.01,0.66,4.91
213,"LEGO Star Wars: The Complete Saga","DS",28,"Action","LucasArts",2.89,1.54,0,0.46,4.9
214,"Diddy Kong Racing","N64",18,"Racing","Nintendo",2.91,0.99,0.89,0.1,4.88
215,"Monster Hunter Freedom 3","PSP",31,"Role-Playing","Capcom",0,0,4.87,0,4.87
216,"Dr. Mario","NES",11,"Puzzle","Nintendo",2.62,0.6,1.52,0.1,4.85
217,"God of War III","PS3",31,"Action","Sony Computer Entertainment",2.74,1.36,0.12,0.63,4.84
218,"StarCraft II: Wings of Liberty","PC",31,"Strategy","Activision",2.56,1.68,0,0.59,4.83
219,"Assassin's Creed","PS3",28,"Adventure","Ubisoft",1.91,2,0.09,0.83,4.83
220,"FIFA 15","PS3",35,"Sports","Electronic Arts",0.57,3.14,0.04,1.07,4.82
221,"Crash Team Racing","PS",20,"Racing","Sony Computer Entertainment",2.57,1.57,0.44,0.21,4.79
222,"FIFA 17","PS4",37,"Sports","Electronic Arts",0.28,3.75,0.06,0.69,4.77
223,"Batman: Arkham City","X360",32,"Action","Warner Bros. Interactive Entertainment",2.99,1.31,0.04,0.41,4.76
224,"Driver 2","PS",21,"Action","Atari",2.36,2.1,0.02,0.25,4.73
225,"The Simpsons: Hit & Run","PS2",24,"Racing","Vivendi Games",1.73,2.19,0,0.79,4.7
226,"Tony Hawk's Pro Skater 2","PS",21,"Sports","Activision",3.05,1.41,0.02,0.2,4.68
227,"Animal Crossing: City Folk","Wii",29,"Simulation","Nintendo",1.87,1.12,1.32,0.37,4.68
228,"The Lord of the Rings: The Two Towers","PS2",23,"Action","Electronic Arts",1.94,1.95,0.08,0.7,4.67
229,"Forza Motorsport 4","X360",32,"Racing","Microsoft Game Studios",2.08,2.04,0.06,0.47,4.64
230,"Tomb Raider","PS",17,"Action","Eidos Interactive",2.29,1.97,0.13,0.24,4.63
231,"Guitar Hero III: Legends of Rock","Wii",28,"Misc","Activision",3.06,1.12,0,0.44,4.62
232,"The Legend of Zelda: A Link to the Past","SNES",12,"Action","Nintendo",2.42,0.91,1.15,0.13,4.61
233,"The Legend of Zelda: The Wind Waker","GC",23,"Action","Nintendo",2.6,0.99,0.89,0.13,4.6
234,"Mario & Sonic at the Olympic Winter Games","Wii",30,"Sports","Sega",1.89,1.99,0.22,0.48,4.58
235,"Luigi's Mansion: Dark Moon","3DS",34,"Action","Nintendo",1.78,1.39,1.1,0.3,4.58
236,"Splatoon","WiiU",36,"Shooter","Nintendo",1.55,1.15,1.44,0.43,4.57
237,"The Last of Us","PS4",35,"Action","Sony Computer Entertainment",1.78,1.87,0.07,0.82,4.55
238,"Guitar Hero III: Legends of Rock","X360",28,"Misc","Activision",3.19,0.92,0.01,0.42,4.53
239,"Madden NFL 2005","PS2",25,"Sports","Electronic Arts",4.18,0.26,0.01,0.08,4.53
240,"Pitfall!","2600",2,"Platform","Activision",4.21,0.24,0,0.05,4.5
241,"Madden NFL 07","PS2",27,"Sports","Electronic Arts",3.63,0.24,0.01,0.61,4.49
242,"Spider-Man: The Movie","PS2",23,"Action","Activision",2.71,1.51,0.03,0.23,4.48
243,"Dragon Quest VII: Warriors of Eden","PS",21,"Role-Playing","Enix Corporation",0.2,0.14,4.1,0.02,4.47
244,"Uncharted: The Nathan Drake Collection","PS4",36,"Action","Sony Computer Entertainment",1.96,1.69,0.08,0.74,4.47
245,"Call of Duty: Advanced Warfare","PS3",35,"Shooter","Activision",1.54,1.94,0.19,0.77,4.45
246,"God of War","PS2",26,"Action","Sony Computer Entertainment",2.71,1.29,0.02,0.43,4.45
247,"Nintendo Land","WiiU",33,"Misc","Nintendo",2.55,1.11,0.46,0.33,4.44
248,"Michael Jackson: The Experience","Wii",31,"Misc","Ubisoft",2.67,1.35,0.01,0.39,4.42
249,"Tony Hawk's Pro Skater 3","PS2",22,"Sports","Activision",2.66,1.29,0.01,0.46,4.41
250,"Winning Eleven: Pro Evolution Soccer 2007","PS2",27,"Sports","Konami Digital Entertainment",0.1,2.39,1.05,0.86,4.39
251,"The Elder Scrolls IV: Oblivion","X360",27,"Role-Playing","Take-Two Interactive",2.82,1.05,0.13,0.4,4.39
252,"Zelda II: The Adventure of Link","NES",8,"Adventure","Nintendo",2.19,0.5,1.61,0.08,4.38
253,"Need for Speed: Most Wanted","PS2",26,"Racing","Electronic Arts",2.03,1.79,0.08,0.47,4.37
254,"Resistance: Fall of Man","PS3",27,"Shooter","Sony Computer Entertainment",1.73,1.73,0.14,0.75,4.35
